Date,AQI
2015-01-01,174.4
2015-01-02,139.8
2015-01-03,491.8
2015-01-04,119.5
2015-01-05,473.1
2015-01-06,15
2015-01-07,493.6
2015-01-08,82.2
2015-01-09,5.9
2015-01-10,446.7
2015-01-11,168.6
2015-01-12,475.9
2015-01-13,168.9
2015-01-14,89.7
2015-01-15,464.6
2015-01-16,255
2015-01-17,234.2
2015-01-18,224.7
2015-01-19,467.9
2015-01-20,207
2015-01-21,440.5
2015-01-22,85
2015-01-23,87.5
2015-01-24,130.4
2015-01-25,119.2
2015-01-26,264.2
2015-01-27,213.1
2015-01-28,128
2015-01-29,218
2015-01-30,133.6
2015-01-31,81.5
2015-02-01,266.8
2015-02-02,274.5
2015-02-03,472.3
2015-02-04,409.8
2015-02-05,62.8
2015-02-06,235
2015-02-07,456.4
2015-02-08,358.7
2015-02-09,38.1
2015-02-10,295.8
2015-02-11,306.8
2015-02-12,453.4
2015-02-13,486.9
2015-02-14,14.4
2015-02-15,85.7
2015-02-16,482.7
2015-02-17,157.2
2015-02-18,334.6
2015-02-19,53.2
2015-02-20,40.3
2015-02-21,393.7
2015-02-22,314.5
2015-02-23,65.5
2015-02-24,237.2
2015-02-25,393.7
2015-02-26,92.5
2015-02-27,442.5
2015-02-28,283.9
2015-03-01,195.5
2015-03-02,72.2
2015-03-03,288.6
2015-03-04,481.8
2015-03-05,373.9
2015-03-06,158.1
2015-03-07,211.5
2015-03-08,453.3
2015-03-09,173.5
2015-03-10,457.2
2015-03-11,359.3
2015-03-12,321.1
2015-03-13,154.1
2015-03-14,277.6
2015-03-15,357.2
2015-03-16,100.9
2015-03-17,477.9
2015-03-18,256.2
2015-03-19,446.3
2015-03-20,111
2015-03-21,207.3
2015-03-22,215.9
2015-03-23,284.6
2015-03-24,223.5
2015-03-25,448.7
2015-03-26,442.9
2015-03-27,484.3
2015-03-28,494.4
2015-03-29,283.4
2015-03-30,260
2015-03-31,93.6
2015-04-01,496.9
2015-04-02,326.7
2015-04-03,481.8
2015-04-04,284.8
2015-04-05,99.5
2015-04-06,247.3
2015-04-07,211.8
2015-04-08,135.7
2015-04-09,337.4
2015-04-10,233.5
2015-04-11,280.3
2015-04-12,370.4
2015-04-13,114.3
2015-04-14,76.6
2015-04-15,253.3
2015-04-16,175.8
2015-04-17,192.9
2015-04-18,103.2
2015-04-19,43.9
2015-04-20,305.8
2015-04-21,43.5
2015-04-22,262.9
2015-04-23,72.1
2015-04-24,344.3
2015-04-25,74.7
2015-04-26,186
2015-04-27,234.3
2015-04-28,33.6
2015-04-29,200.2
2015-04-30,386.3
2015-05-01,390.8
2015-05-02,253.9
2015-05-03,319.2
2015-05-04,16.4
2015-05-05,310.1
2015-05-06,408.4
2015-05-07,228.5
2015-05-08,382.6
2015-05-09,383.2
2015-05-10,86.6
2015-05-11,282.9
2015-05-12,487.9
2015-05-13,190.9
2015-05-14,276.9
2015-05-15,208.3
2015-05-16,317.6
2015-05-17,110
2015-05-18,157.5
2015-05-19,361
2015-05-20,275.3
2015-05-21,258.3
2015-05-22,410.3
2015-05-23,248.7
2015-05-24,375.2
2015-05-25,129.7
2015-05-26,46
2015-05-27,200.7
2015-05-28,51.9
2015-05-29,111.8
2015-05-30,108.9
2015-05-31,277.2
2015-06-01,227.6
2015-06-02,449.3
2015-06-03,287.5
2015-06-04,55.8
2015-06-05,317.9
2015-06-06,25.9
2015-06-07,438.6
2015-06-08,83.7
2015-06-09,341.1
2015-06-10,220.6
2015-06-11,67.4
2015-06-12,497.3
2015-06-13,424.8
2015-06-14,469.1
2015-06-15,241.8
2015-06-16,275.9
2015-06-17,255.9
2015-06-18,414.6
2015-06-19,58.9
2015-06-20,455.4
2015-06-21,149.5
2015-06-22,90.2
2015-06-23,188.1
2015-06-24,127.7
2015-06-25,125.9
2015-06-26,247
2015-06-27,144.1
2015-06-28,211.6
2015-06-29,155.4
2015-06-30,391.5
2015-07-01,146.2
2015-07-02,30.1
